Company,Days_Observed,Crosses,True_Positive,False_Positive,True_Negative,False_Negative,Sensitivity,Specificity,Accuracy,TPR,FPR
ABBV,1253,101,29,32,19,21,0.58,0.37254901960784315,0.4752475247524752,0.58,0.6274509803921569
ABT,1253,103,28,30,21,24,0.5384615384615384,0.4117647058823529,0.47572815533980584,0.5384615384615384,0.5882352941176471
ACN,1253,98,30,31,18,19,0.6122448979591837,0.3673469387755102,0.4897959183673469,0.6122448979591837,0.6326530612244898
BABA,1253,126,28,41,22,35,0.4444444444444444,0.3492063492063492,0.3968253968253968,0.4444444444444444,0.6507936507936508
BAC,1253,91,31,19,26,15,0.6739130434782609,0.5777777777777777,0.6263736263736264,0.6739130434782609,0.4222222222222223
BHP,1253,115,30,32,25,28,0.5172413793103449,0.43859649122807015,0.4782608695652174,0.5172413793103449,0.5614035087719298
CVX,1253,100,30,30,20,20,0.6,0.4,0.5,0.6,0.6
DHR,1253,111,28,30,25,28,0.5,0.45454545454545453,0.4774774774774775,0.5,0.5454545454545454
KO,1253,122,36,37,24,25,0.5901639344262295,0.39344262295081966,0.4918032786885246,0.5901639344262295,0.6065573770491803
T,1253,106,29,23,30,24,0.5471698113207547,0.5660377358490566,0.5566037735849056,0.5471698113207547,0.4339622641509434
